502,Stockton Civic Auditorium,Stockton,6,1
503,Milwaukee Auditorium,Milwaukee,51,1
504,Veterans Memorial Hall,Columbus,37,1
505,Rupp Arena,Lexington,19,1
506,Nashville Municipal Auditorium,Nashville,44,1
507,Thompson Arena - Dartmouth College,Hanover,31,1
508,Arrowhead Stadium,Kansas City,27,1
509,Boutwell Auditorium,Birmingham,2,1
510,Memorial Coliseum - State Fairgrounds,Jackson,26,1
511,The Summit,Houston,45,1
512,Dallas Convention Center Arena,Dallas,45,1
513,Masonic Temple,Detroit,24,1
514,Tulsa Fairgrounds Pavilion,Tulsa,38,1
515,SIU Arena - U. of Southern Illinois,Carbondale,15,1
516,Spartan Stadium,San Jose,6,1
517,Kirby Fieldhouse - Lafayette College,Easton,40,1
518,Alumni Stadium - U. of Massachusetts,Amherst,23,1
519,Portland International Raceway,Portland,39,1
520,Holleder Memorial Stadium,Rochester,34,1
521,Crisler Arena - U. of Michigan,Ann Arbor,24,1
522,Indiana Convention Center,Indianapolis,16,1
523,Des Moines Civic Center,Des Moines,17,1
524,Compton Terrace Amphitheatre,Tempe,4,1
525,Spokane Coliseum,Spokane,49,1
526,Grand Center,Grand Rapids,24,1
527,Pine Knob Music Theatre,Clarkston,24,1
528,Rutgers Athletic Center,Piscataway,32,1
529,Stabler Arena - Lehigh University,Bethlehem,40,1
530,The Playhouse,Edinburgh,0,10
531,The Forum Theater,Copenhagen,0,3
532,Stadthalle IV,Bremen,0,14
533,Walter Koebel Halle,Ruesselsheim,0,14
534,The Hippodrome,Paris,0,6
535,Hara Arena,Dayton,37,1
536,Events Center - University of Colorado,Boulder,7,1
537,Fiesta Hall - County Fairgrounds,San Mateo,6,1
538,Centennial Coliseum,Reno,30,1
539,Recreational Hall - U. of California,Davis,6,1
540,The Scope,Norfolk,48,1
541,Moscone Convention Center,San Francisco,6,1
542,Oregon Country Fair Site,Veneta,39,1
543,Glen Helen Regional Park,Devore,6,1
544,West Palm Beach Auditorium,West Palm Beach,11,1
545,University of Virginia,Charlottesville,48,1
546,Montego Bay,Freeport Zone,0,8
547,Coliseum - W.V. University,Morgantown,50,1
548,City Island,Harrisburg,40,1
549,BSU Pavilion - Boise State University,Boise,14,1
550,Nevada County Fairgrounds,Grass Valley,6,1
551,Santa Cruz County Fairgrounds,Watsonville,6,1
552,Olympic Center,Lake Placid,34,1
553,Niagara Falls Civic Center,Niagara Falls,34,1
554,Indianapolis Sports Center,Indianapolis,16,1
555,Five Seasons Center,Cedar Rapids,17,1
556,Boreal Ridge Ski Resort,Donner's Summit,6,1
557,Sun Dome - University of South Florida,Tampa,11,1
558,The Rubber Bowl - University of Akron,Akron,37,1
559,UIC Pavilion,Chicago,15,1
560,Schaefer Stadium,Foxboro,23,1
561,Anaheim Stadium,Anaheim,6,1
562,Town Park,Telluride,7,1
563,Joe Louis Arena,Detroit,24,1
564,Tacoma Dome,Tacoma,49,1
565,Keifer Lakefront Arena - U.N.O.,New Orleans,20,1
566,Reunion Arena,Dallas,45,1
567,Carter-Finley Stadium,Raleigh,35,1
568,Ice Stadium,Stockholm,0,12
569,Grugahalle,Essen,0,7
570,Festhalle,Frankfurt,0,7
571,Sporthalle,Hamburg,0,7
572,Orlando Arena,Orlando,11,1
573,Los Angeles Memorial Coliseum,Los Angeles,6,1
574,Mile High Stadium,Denver,7,1
575,Desert Sky Pavilion,Phoenix,4,1
576,Seattle Center Memorial Stadium,Seattle,49,1
577,BJCC Coliseum,Birmingham,2,1
578,Sound City Acid Test,San Francisco,6,1
579,The Lyric Theater,Baltimore,22,1
580,The Cheetah,Santa Monica,6,1
581,Sierra College,Rocklin,6,1
582,Electric Circus,New York,34,1
583,Santa Clara County Fairgrounds,San Jose,6,1
584,Bandshell On The Mall - Central Park,New York,34,1
585,U. of Ca. Medical Center,San Francisco,6,1
586,El Camino Park,Palo Alto,6,1
587,Rock Pile,Toronto,53,2
588,Golden Gardens Beach,Seattle,49,1
589,Place Ville Marie,Montreal,54,2
590,Expo '67,Montreal,54,2
591,Fireside Club,San Mateo,6,1
592,Big Al's Gas House,Redwood City,6,1
593,Cinnamon A-Go-Go,Redwood City,6,1
594,In Room,Belmont,6,1
595,Palace of Fine Arts Theatre,San Francisco,6,1
596,Volunteer Park,Seattle,49,1
597,City Park,Denver,7,1
598,Mt. Tamalpais Amphitheatre,Marin County,6,1
599,Pierre's,San Francisco,6,1
600,Sargent Gym - Boston University,Boston,23,1
601,Studio,Unknown City,6,1
602,Winterland Arena,San Francisco,6,1
